Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,900.0,17.0,88.0,900.0,0.1,135.8496000000001,0.0,0.0,91.4132764339447,,,,,,,,,,,,,,,,,,,,,64.18567686243244,37.66733592248832,130.46205408221633,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,957.0,18.0,57.0,957.0,0.1,98.28799999999997,0.0,0.0,97.52752423286438,,,,,,,,,,,,,,,,,,,,,45.34701326754109,29.424629231483227,95.89491417719034,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,995.0,19.0,38.0,995.0,0.1,58.65240000000002,0.0,0.0,101.92721462249756,,,,,,,,,,,,,,,,,,,,,25.609938691847873,18.046985563308397,57.79475404304181,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1086.0,20.0,91.0,1086.0,0.1,149.45360000000002,0.0,0.0,111.4359290599823,,,,,,,,,,,,,,,,,,,,,67.8704781634482,43.8062826060671,143.56437166608666,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,67.0,1.0,67.0,1153.0,0.1,92.67039999999999,0.0,0.0,301.2756984233856,,,,,,,,,,,,,,,,,,,,,43.094043157455246,24.946533376652788,89.96293501554658,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,110.0,2.0,43.0,1196.0,0.1,72.58959999999996,0.0,0.0,306.01291251182556,,,,,,,,,,,,,,,,,,,,,32.714918927308446,22.668418253794908,71.32543803676123,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,153.0,3.0,43.0,1239.0,0.1,70.09119999999997,0.0,0.0,310.52151012420654,,,,,,,,,,,,,,,,,,,,,31.47019042364637,21.67149389088806,68.87566426464824,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,179.0,4.0,26.0,1265.0,0.1,39.60800000000001,0.0,0.0,313.44665455818176,,,,,,,,,,,,,,,,,,,,,18.150293658106957,12.460957098248057,39.21448211463638,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,235.0,5.0,56.0,1321.0,0.1,74.26399999999994,0.0,0.0,319.20882630348206,,,,,,,,,,,,,,,,,,,,,31.5647330425958,21.583066503682733,72.64158547898715,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,266.0,6.0,31.0,1352.0,0.1,46.75040000000001,0.0,0.0,322.77792406082153,,,,,,,,,,,,,,,,,,,,,20.659052397327983,14.497126431706036,46.20232782901302,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,314.0,7.0,48.0,1400.0,0.1,77.29199999999997,0.0,0.0,327.87235140800476,,,,,,,,,,,,,,,,,,,,,33.915983490112275,23.627808423687092,75.81558815319282,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,408.0,8.0,94.0,1494.0,0.1,162.48960000000002,0.0,0.0,337.3115727901459,,,,,,,,,,,,,,,,,,,,,77.18965221494886,46.96760287595159,155.54470656020865,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
