Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
80,3.0,0.0,0.0,1583.0,20.0,156.0,5137.0,0.1,299.28800000000007,0.0,0.0,1149.5995209217072,,,,,,,,,,,,,,,,,,,,,141.97288388337543,84.11780676765872,277.6953431050606,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,51.0,1.0,51.0,5188.0,0.1,88.00799999999997,0.0,0.0,1426.9570503234863,,,,,,,,,,,,,,,,,,,,,41.110103847912434,26.459095151179085,86.08346555139372,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,181.0,2.0,130.0,5318.0,0.1,218.03839999999988,0.0,0.0,1440.5655601024628,,,,,,,,,,,,,,,,,,,,,99.66141718983769,59.63518952056733,205.49319666545534,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,239.0,3.0,58.0,5376.0,0.1,96.48639999999999,0.0,0.0,1446.5003163814545,,,,,,,,,,,,,,,,,,,,,45.47077487504989,27.746978627722598,94.03707517051296,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,269.0,4.0,30.0,5406.0,0.1,43.36960000000002,0.0,0.0,1449.8529851436615,,,,,,,,,,,,,,,,,,,,,19.670688957367304,13.379196786141467,42.865166799711595,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,301.0,5.0,32.0,5438.0,0.1,45.85200000000002,0.0,0.0,1453.3170523643494,,,,,,,,,,,,,,,,,,,,,20.213389381251588,14.02990286528423,45.29571767944115,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,348.0,6.0,47.0,5485.0,0.1,79.45039999999999,0.0,0.0,1458.2707345485687,,,,,,,,,,,,,,,,,,,,,35.6302358071883,24.390302891506387,77.93156411372547,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,455.0,7.0,107.0,5592.0,0.1,184.0896000000001,0.0,0.0,1469.1739501953125,,,,,,,,,,,,,,,,,,,,,88.15118270076916,52.08828443616345,175.00726296969407,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,651.0,8.0,196.0,5788.0,0.1,379.5896000000005,0.0,0.0,1488.711908340454,,,,,,,,,,,,,,,,,,,,,174.67269865490513,103.75542422894934,346.04549601016316,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,718.0,9.0,67.0,5855.0,0.1,114.01039999999988,0.0,0.0,1495.8070015907288,,,,,,,,,,,,,,,,,,,,,50.800218950134415,34.126421252825594,110.82833116433855,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,840.0,10.0,122.0,5977.0,0.1,216.8095999999999,0.0,0.0,1507.993674993515,,,,,,,,,,,,,,,,,,,,,101.87152913067388,61.623734740689066,204.7906499553186,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,983.0,11.0,143.0,6120.0,0.1,227.316,0.0,0.0,1522.0722699165344,,,,,,,,,,,,,,,,,,,,,101.90621834757876,62.72777597536699,213.1695366801198,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1222.0,12.0,239.0,6359.0,0.1,398.59440000000075,0.0,0.0,1545.4653544425964,,,,,,,,,,,,,,,,,,,,,177.66718843161095,103.81647336126713,356.8452756709112,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1616.0,13.0,394.0,6753.0,0.1,705.8900000000012,0.0,0.0,1584.4443383216858,,,,,,,,,,,,,,,,,,,,,306.13674553863416,169.28475698627895,586.444424662679,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,1775.0,14.0,159.0,6912.0,0.1,267.23359999999997,0.0,0.0,1599.880462884903,,,,,,,,,,,,,,,,,,,,,125.42943458588587,73.44986281889295,247.78564340200475,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,1955.0,15.0,180.0,7092.0,0.1,321.4896000000001,0.0,0.0,1617.3249943256378,,,,,,,,,,,,,,,,,,,,,150.05472488761126,88.27248046650668,295.06959363791236,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,2062.0,16.0,107.0,7199.0,0.1,194.134,0.0,0.0,1627.910653591156,,,,,,,,,,,,,,,,,,,,,86.16054872332792,56.61076364536753,185.2852064142261,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,2354.0,17.0,292.0,7491.0,0.1,508.2944000000005,0.0,0.0,1657.0723190307617,,,,,,,,,,,,,,,,,,,,,221.82086070078145,131.1560760831353,444.41108643715984,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,2458.0,18.0,104.0,7595.0,0.1,176.61200000000002,0.0,0.0,1667.3587951660156,,,,,,,,,,,,,,,,,,,,,80.85175793361661,50.51473889473701,168.54032929316094,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,2671.0,19.0,213.0,7808.0,0.1,372.6671999999997,0.0,0.0,1688.5986025333405,,,,,,,,,,,,,,,,,,,,,167.14432303166205,98.04127580211173,337.74060265897157,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,2747.0,20.0,76.0,7884.0,0.1,129.3304,0.0,0.0,1696.3640739917755,,,,,,,,,,,,,,,,,,,,,59.39259826050085,38.08950681644571,125.06657060684499,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,147.0,1.0,147.0,8031.0,0.1,249.92719999999989,0.0,0.0,2166.3458914756775,,,,,,,,,,,,,,,,,,,,,117.49625833079956,69.51640068815006,233.1212594229591,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,438.0,2.0,291.0,8322.0,0.1,530.2511999999995,0.0,0.0,2195.2105491161346,,,,,,,,,,,,,,,,,,,,,237.04304563216624,134.38363526061158,462.1956027308991,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,617.0,3.0,179.0,8501.0,0.1,317.76959999999985,0.0,0.0,2212.907133102417,,,,,,,,,,,,,,,,,,,,,144.89667954779685,87.42980234821084,292.41763721774277,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,667.0,4.0,50.0,8551.0,0.1,89.68639999999999,0.0,0.0,2218.0511903762817,,,,,,,,,,,,,,,,,,,,,42.269125890687434,27.257715161191065,87.74835266243787,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,1352.0,5.0,685.0,9236.0,0.1,1117.1212000000005,0.0,0.0,2285.711418867111,,,,,,,,,,,,,,,,,,,,,435.56147424353765,233.42285198274442,820.4015728873794,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,1564.0,6.0,212.0,9448.0,0.1,374.99280000000033,0.0,0.0,2306.521670103073,,,,,,,,,,,,,,,,,,,,,170.91366191901773,100.09366945785835,339.437639514558,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,1814.0,7.0,250.0,9698.0,0.1,456.9064000000015,0.0,0.0,2330.9793684482574,,,,,,,,,,,,,,,,,,,,,203.09384119291852,118.58120911980794,406.9464256065578,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,1869.0,8.0,55.0,9753.0,0.1,95.55279999999993,0.0,0.0,2336.258978843689,,,,,,,,,,,,,,,,,,,,,42.661010451209364,29.402075152930706,93.39313730665948,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,1929.0,9.0,60.0,9813.0,0.1,100.97439999999996,0.0,0.0,2342.4527287483215,,,,,,,,,,,,,,,,,,,,,46.02372031482981,30.881918925385197,98.40969776694635,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,2060.0,10.0,131.0,9944.0,0.1,247.7896000000001,0.0,0.0,2355.405562877655,,,,,,,,,,,,,,,,,,,,,116.4695457063339,71.02668174459603,232.9978522190562,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,2138.0,11.0,78.0,10022.0,0.1,137.28959999999998,0.0,0.0,2363.3288128376007,,,,,,,,,,,,,,,,,,,,,63.08695708853885,40.20643878448826,132.6339526183781,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,2206.0,12.0,68.0,10090.0,0.1,122.35199999999993,0.0,0.0,2370.112523794174,,,,,,,,,,,,,,,,,,,,,54.8317946786489,37.18606744081822,118.86104118317708,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,2265.0,13.0,59.0,10149.0,0.1,107.80959999999995,0.0,0.0,2376.009621143341,,,,,,,,,,,,,,,,,,,,,49.42501411796069,32.811640544644334,105.1036263160461,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,2289.0,14.0,24.0,10173.0,0.1,36.80800000000001,0.0,0.0,2378.4689242839813,,,,,,,,,,,,,,,,,,,,,16.66221114230073,11.621656429145089,36.48103251658544,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,2389.0,15.0,100.0,10273.0,0.1,183.4936000000001,0.0,0.0,2388.3978431224823,,,,,,,,,,,,,,,,,,,,,86.16072810125979,53.31387115185299,175.2278075772208,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5.0,0.0,0.0,2481.0,16.0,92.0,10365.0,0.1,167.88840000000008,0.0,0.0,2397.862523794174,,,,,,,,,,,,,,,,,,,,,80.31094028077878,48.69316647012508,160.82127522333977,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5.0,0.0,0.0,2764.0,17.0,283.0,10648.0,0.1,475.3352000000003,0.0,0.0,2425.6890604496,,,,,,,,,,,,,,,,,,,,,209.9503054705162,120.25038019408817,416.7523515024977,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,0.0,0.0,2906.0,18.0,142.0,10790.0,0.1,243.98000000000013,0.0,0.0,2439.8801436424255,,,,,,,,,,,,,,,,,,,,,108.76915712882622,68.99781683591725,228.99253576670438,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5.0,0.0,0.0,2966.0,19.0,60.0,10850.0,0.1,107.85039999999998,0.0,0.0,2445.996644258499,,,,,,,,,,,,,,,,,,,,,49.242858257555966,32.8035865499001,105.10593526914967,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.0,0.0,0.0,3137.0,20.0,171.0,11021.0,0.1,312.5071999999995,0.0,0.0,2463.0028278827667,,,,,,,,,,,,,,,,,,,,,140.28269662276014,85.07581643584781,289.0967633073596,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6.0,0.0,0.0,63.0,1.0,63.0,11084.0,0.1,106.48879999999997,0.0,0.0,3002.3318948745728,,,,,,,,,,,,,,,,,,,,,49.22846533740128,30.814403150410694,103.59449207339843,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6.0,0.0,0.0,164.0,2.0,101.0,11185.0,0.1,175.8152,0.0,0.0,3012.4620645046234,,,,,,,,,,,,,,,,,,,,,78.12181414723008,50.3860106007921,168.2612510119026,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6.0,0.0,0.0,224.0,3.0,60.0,11245.0,0.1,92.9896,0.0,0.0,3018.6302304267883,,,,,,,,,,,,,,,,,,,,,43.63951102629359,26.931262684461988,90.55224327272454,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6.0,0.0,0.0,247.0,4.0,23.0,11268.0,0.1,35.30800000000001,0.0,0.0,3021.176256418228,,,,,,,,,,,,,,,,,,,,,16.393051118737237,11.34593520677937,35.00092667669576,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6.0,0.0,0.0,460.0,5.0,213.0,11481.0,0.1,363.43360000000007,0.0,0.0,3042.133800506592,,,,,,,,,,,,,,,,,,,,,165.73006337224032,95.34897378784427,328.79034840818076,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6.0,0.0,0.0,522.0,6.0,62.0,11543.0,0.1,112.48959999999997,0.0,0.0,3048.4883196353912,,,,,,,,,,,,,,,,,,,,,51.924769150506684,34.00162407272782,109.4891330897149,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,6.0,0.0,0.0,688.0,7.0,166.0,11709.0,0.1,307.1096,0.0,0.0,3065.130092382431,,,,,,,,,,,,,,,,,,,,,147.60531430680064,85.45029927127065,283.1731810139181,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6.0,0.0,0.0,804.0,8.0,116.0,11825.0,0.1,202.57359999999997,0.0,0.0,3076.6848685741425,,,,,,,,,,,,,,,,,,,,,92.59366515851677,58.526669405659696,192.21697657779103,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6.0,0.0,0.0,877.0,9.0,73.0,11898.0,0.1,120.05039999999998,0.0,0.0,3084.1733179092407,,,,,,,,,,,,,,,,,,,,,55.29078259681842,35.071759440324215,116.2465497233292,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6.0,0.0,0.0,1060.0,10.0,183.0,12081.0,0.1,315.81039999999996,0.0,0.0,3102.4145498275757,,,,,,,,,,,,,,,,,,,,,148.0417304967727,85.56750053117759,289.29706815833924,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6.0,0.0,0.0,1160.0,11.0,100.0,12181.0,0.1,162.24800000000002,0.0,0.0,3112.420476436615,,,,,,,,,,,,,,,,,,,,,75.2292173129013,45.04936871139399,155.03499322015696,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6.0,0.0,0.0,1231.0,12.0,71.0,12252.0,0.1,115.76639999999996,0.0,0.0,3119.492449760437,,,,,,,,,,,,,,,,,,,,,54.655326321771206,32.52153822423729,112.10997968053562,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6.0,0.0,0.0,1451.0,13.0,220.0,12472.0,0.1,357.36500000000063,0.0,0.0,3141.1407582759857,,,,,,,,,,,,,,,,,,,,,158.45228572451197,88.75125498591262,323.15147694301663,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,6.0,0.0,0.0,1742.0,14.0,291.0,12763.0,0.1,512.9551999999998,0.0,0.0,3169.545470237732,,,,,,,,,,,,,,,,,,,,,231.39780533231897,134.36825397984555,446.5110141656123,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6.0,0.0,0.0,2080.0,15.0,338.0,13101.0,0.1,598.7688000000007,0.0,0.0,3203.0434336662292,,,,,,,,,,,,,,,,,,,,,269.28549622805787,149.6849383133892,508.7673281639164,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6.0,0.0,0.0,2724.0,16.0,644.0,13745.0,0.1,1133.4368,0.0,0.0,3265.9083664417267,,,,,,,,,,,,,,,,,,,,,465.47094248192064,231.81678665442487,835.3433644271323,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6.0,0.0,0.0,2843.0,17.0,119.0,13864.0,0.1,175.54,0.0,0.0,3277.7158546447754,,,,,,,,,,,,,,,,,,,,,77.9207287678529,49.37056198479789,166.60046761138065,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6.0,0.0,0.0,2879.0,18.0,36.0,13900.0,0.1,56.69040000000002,0.0,0.0,3281.521150112152,,,,,,,,,,,,,,,,,,,,,25.21548709338977,17.480424413219342,55.89437532090446,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6.0,0.0,0.0,2948.0,19.0,69.0,13969.0,0.1,118.17039999999992,0.0,0.0,3288.517304420471,,,,,,,,,,,,,,,,,,,,,53.80611113995438,34.51018869496667,114.68703771974495,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6.0,0.0,0.0,3191.0,20.0,243.0,14212.0,0.1,449.2936000000003,0.0,0.0,3312.6870489120483,,,,,,,,,,,,,,,,,,,,,199.82810555764067,117.31910511898393,401.53804490125106,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
